sessionID,userID,kWhDelivered,Estimated_Revenue
2_39_79_380_2018-04-27 17:10:24.546834,,15.894,4.2977376
2_39_78_364_2018-04-27 17:19:01.776708,,9.823,2.6561391
2_39_92_436_2018-04-27 17:26:40.723495,,1.832,0.49537277
2_39_95_444_2018-04-27 17:32:29.773901,,21.669,5.8592973
2_39_78_362_2018-04-27 18:17:36.209565,,1.759,0.47563356
2_39_88_438_2018-04-27 18:18:21.333966,,2.531,0.6843823
2_39_78_363_2018-04-27 18:32:36.038417,,2.848,0.77009916
2_39_139_28_2018-04-27 19:59:48.978622,,13.871,3.7507184
2_39_92_436_2018-04-27 20:15:40.252620,,6.523,1.7638191
2_39_125_21_2018-04-27 20:29:41.830556,,1.158,0.3131232
2_39_90_26_2018-04-27 21:24:59.677135,,11.337,3.0655246
2_39_131_30_2018-04-27 22:46:32.341027,,10.577,2.8600206
2_39_79_381_2018-04-28 00:14:16.209245,,12.49,3.3772957
2_39_79_379_2018-04-28 00:26:32.641529,,15.432,4.1728125
2_39_124_22_2018-04-28 00:34:19.166123,,13.31,3.599024
2_39_92_436_2018-04-28 00:54:20.639506,,4.254,1.1502815
2_39_79_377_2018-04-28 01:31:06.188165,,13.191,3.5668461
2_39_131_30_2018-04-28 01:39:35.976470,,14.102,3.8131807
2_39_139_28_2018-04-28 01:45:54.820735,,4.002,1.0821407
2_39_126_20_2018-04-28 02:01:09.080764,,14.268,3.858067
2_39_92_442_2018-04-28 03:15:17.222958,,4.229,1.1435215
2_39_79_383_2018-04-28 03:32:06.715794,,39.897,10.788148
2_39_79_378_2018-04-28 03:49:37.767000,,6.419,1.7356975
2_39_89_25_2018-04-28 04:10:59.017020,,41.924,11.336249
2_39_78_367_2018-04-28 04:33:52.322286,,11.873,3.210459
2_39_78_366_2018-04-28 05:00:55.531218,,33.381,9.026222
2_39_78_365_2018-04-28 06:02:39.544274,,16.741,4.526766
2_39_78_367_2018-04-28 12:30:38.169054,,5.652,1.5283008
2_39_124_22_2018-04-28 13:08:46.118367,,2.284,0.6175935
2_39_139_28_2018-04-28 14:03:41.944685,,1.581,0.42750236
2_39_131_30_2018-04-28 14:51:32.982840,,13.508,3.652563
2_39_123_23_2018-04-28 15:17:54.026514,,5.275,1.42636
2_39_79_380_2018-04-28 15:43:56.170913,,18.737,5.0664845
2_39_79_377_2018-04-28 16:06:31.174293,,3.537,0.95640475
2_39_95_27_2018-04-28 16:49:43.608068,,3.242,0.8766368
2_39_78_361_2018-04-28 17:04:52.010463,,17.61,4.761744
2_39_130_31_2018-04-28 17:22:23.394062,,13.915,3.762616
2_39_139_28_2018-04-28 17:46:54.027865,,7.292,1.9717567
2_39_131_30_2018-04-28 18:10:25.715156,,8.469,2.2900174
2_39_127_19_2018-04-28 18:17:43.921905,,8.968,2.4249473
2_39_125_21_2018-04-28 18:20:10.887408,,4.445,1.201928
2_39_91_437_2018-04-28 18:27:38.875918,,40.111,10.846014
2_39_78_367_2018-04-28 18:34:00.740784,,12.963,3.5051951
2_39_138_29_2018-04-28 18:47:50.915110,,13.913,3.762075
2_39_79_377_2018-04-28 19:04:49.767132,,5.99,1.6196959
2_39_131_30_2018-04-28 19:41:56.533178,,13.909,3.7609935
2_39_125_21_2018-04-28 20:13:02.549509,,1.745,0.47184798
2_39_89_25_2018-04-28 20:31:29.511002,,2.27,0.613808
2_39_88_438_2018-04-28 21:16:59.958093,,19.538,5.283075
2_39_138_29_2018-04-28 23:02:44.931767,,6.942,1.8771167
2_39_127_19_2018-04-28 23:41:00.349337,,13.914,3.7623453
2_39_95_27_2018-04-29 00:06:56.834646,,40.858,11.048003
2_39_123_23_2018-04-29 00:27:02.301309,,12.102,3.2723808
2_39_125_21_2018-04-29 02:04:16.269181,,6.142,1.6607968
2_39_131_30_2018-04-29 02:36:09.068992,,13.619,3.6825776
2_39_125_21_2018-04-29 04:15:09.913647,,5.355,1.447992
2_39_78_367_2018-04-29 05:42:03.843732,,17.25,4.6643996
2_39_131_30_2018-04-29 16:26:35.599363,,4.026,1.0886303
2_39_127_19_2018-04-29 17:25:13.845569,,8.838,2.389795
2_39_125_21_2018-04-29 17:59:13.994691,,10.047,2.7167087
2_39_131_30_2018-04-29 18:30:35.520787,,13.595,3.6760879
2_39_138_29_2018-04-29 18:32:13.495102,,8.13,2.1983519
2_39_78_367_2018-04-29 18:36:13.357144,,11.632,3.1452928
2_39_90_26_2018-04-29 18:40:51.437323,,0.644,0.17413759
2_39_89_25_2018-04-29 18:47:15.365203,,28.647,7.746148
2_39_123_23_2018-04-29 18:53:39.467975,,13.919,3.7636974
2_39_139_28_2018-04-29 19:32:58.358117,,11.826,3.1977503
2_39_125_21_2018-04-29 20:09:20.726403,,3.99,1.0788959
2_39_127_19_2018-04-29 20:26:32.616385,,8.84,2.390336
2_39_130_31_2018-04-29 20:27:24.854899,,1.16,0.313664
2_39_126_20_2018-04-29 21:02:33.552100,,13.927,3.7658606
2_39_124_22_2018-04-29 21:22:44.282759,,1.909,0.51619357
2_39_123_23_2018-04-29 21:28:04.065966,,13.904,3.7596414
2_39_130_31_2018-04-29 21:47:40.472907,,4.767,1.2889968
2_39_139_28_2018-04-29 22:00:37.095335,,2.303,0.62273115
2_39_79_379_2018-04-29 22:40:53.930731,,25.761,6.965774
2_39_78_361_2018-04-29 23:10:57.761144,,2.684,0.72575355
2_39_139_28_2018-04-29 23:44:39.140654,,13.076,3.5357504
2_39_138_29_2018-04-29 23:53:59.304392,,3.504,0.9474816
2_39_127_19_2018-04-30 00:32:14.963750,,13.91,3.7612638
2_39_138_29_2018-04-30 00:32:40.418558,,2.552,0.6900608
2_39_128_18_2018-04-30 00:40:53.135472,,13.853,3.745851
2_39_89_25_2018-04-30 00:52:53.102075,,1.544,0.41749758
2_39_79_376_2018-04-30 02:19:39.707354,,3.811,1.0304943
2_39_79_376_2018-04-30 03:42:52.604675,,10.44,2.8229759
2_39_138_566_2018-04-30 06:56:41.499872,,13.016,3.5195262
2_39_131_30_2018-04-30 13:21:34.651212,,3.51,0.94910395
2_39_79_380_2018-04-30 13:55:56.532322,,10.083,2.726443
2_39_95_27_2018-04-30 14:56:42.084943,,10.81,2.923024
2_39_78_366_2018-04-30 15:04:33.947158,,6.249,1.6897296
2_39_79_381_2018-04-30 15:07:26.419369,,16.386,4.430774
2_39_88_24_2018-04-30 15:07:48.608581,22.0,47.808,12.927282
2_39_79_377_2018-04-30 15:13:47.385909,,3.566,0.96424633
2_39_130_31_2018-04-30 15:13:48.377299,,5.326,1.4401504
2_39_78_363_2018-04-30 15:14:18.315474,,1.948,0.5267392
2_39_127_19_2018-04-30 15:26:12.477582,,6.962,1.8825247
2_39_138_29_2018-04-30 15:27:36.253326,,11.676,3.15719
2_39_79_382_2018-04-30 15:32:40.483238,,4.761,1.2873744
2_39_78_365_2018-04-30 15:34:27.009333,,4.451,1.2035505
2_39_139_28_2018-04-30 15:36:43.210995,,5.494,1.4855775
2_39_79_383_2018-04-30 15:38:57.721435,,5.453,1.4744911
2_39_92_442_2018-04-30 15:47:29.311801,,6.124,1.6559296
2_39_78_361_2018-04-30 15:47:36.417223,,2.69,0.727376
2_39_124_22_2018-04-30 15:59:08.265593,,10.51,2.841904
2_39_79_376_2018-04-30 16:00:55.726494,,2.575,0.69628
2_39_78_367_2018-04-30 16:06:02.025144,,8.189,2.2143056
2_39_91_437_2018-04-30 16:09:13.705124,,5.206,1.4077023
2_39_90_440_2018-04-30 16:31:29.713859,,12.332,3.3345726
2_39_78_360_2018-04-30 16:44:10.253778,,15.947,4.3120685
2_39_78_364_2018-04-30 16:51:35.686836,,3.354,0.90692157
2_39_89_439_2018-04-30 17:25:33.787163,,14.355,3.8815918
2_39_88_438_2018-04-30 17:30:27.924466,,20.865,5.641896
2_39_78_362_2018-04-30 17:33:00.541021,,8.331,2.2527025
2_39_123_23_2018-04-30 17:42:23.997600,,1.93,0.521872
2_39_92_436_2018-04-30 17:52:20.885279,,15.629,4.2260814
2_39_95_444_2018-04-30 18:45:38.019636,,0.5860128,0.15845785
2_39_91_441_2018-04-30 19:02:14.276934,,2.554,0.6906015
2_39_79_376_2018-04-30 19:37:53.917512,,6.878,1.8598111
2_39_79_382_2018-04-30 19:53:32.706440,,1.308,0.35368317
2_39_90_26_2018-04-30 20:29:49.601092,,8.494,2.2967777
2_39_78_364_2018-04-30 20:50:41.803156,,0.923,0.24957918
2_39_138_29_2018-04-30 21:06:42.417195,,13.975,3.7788398
2_39_123_557_2018-04-30 21:10:08.827993,,2.334,0.6311136
2_39_130_564_2018-04-30 21:18:08.506221,,4.14,1.1194559
2_39_79_379_2018-04-30 22:32:52.351226,,1.813,0.49023518
2_39_130_564_2018-04-30 22:41:33.095029,,1.842,0.49807677
2_39_79_380_2018-04-30 23:19:27.598104,,4.824,1.3044095
2_39_92_442_2018-05-01 00:31:55.766923,,5.777,1.5621008
2_39_131_30_2018-05-01 00:43:31.213098,,12.846,3.4735582
2_39_127_19_2018-05-01 01:00:22.472519,,13.932,3.7672126
2_39_129_17_2018-05-01 01:14:26.538688,,0.801,0.21659039
2_39_138_29_2018-05-01 01:27:39.049762,,1.868,0.50510716
2_39_129_17_2018-05-01 01:31:03.442958,,1.851,0.50051033
2_39_125_21_2018-05-01 01:35:22.341341,,10.868,2.938707
2_39_139_28_2018-05-01 01:48:07.005869,,9.055,2.448472
2_39_79_380_2018-05-01 02:10:29.102131,,7.06,1.9090239
2_39_79_379_2018-05-01 03:08:47.017440,,6.505,1.7589519
2_39_138_566_2018-05-01 04:55:58.860904,,23.007318,6.2211785
2_39_129_17_2018-05-01 05:44:03.135899,,13.91,3.7612638
2_39_95_27_2018-05-01 13:23:18.374684,,13.41,3.6260638
2_39_79_380_2018-05-01 13:54:33.599590,,8.618,2.330307
2_39_139_28_2018-05-01 14:46:04.441389,,13.969,3.7772174
2_39_79_378_2018-05-01 14:56:28.908623,,6.914,1.8695456
2_39_88_24_2018-05-01 15:14:50.443137,,13.785,3.7274637
2_39_79_376_2018-05-01 15:21:17.139837,,0.618,0.16710718
2_39_91_441_2018-05-01 15:21:33.907284,,14.112,3.8158848
2_39_79_381_2018-05-01 15:21:51.892947,,1.051,0.2841904
2_39_78_365_2018-05-01 15:22:39.533595,,6.102,1.6499808
2_39_79_382_2018-05-01 15:28:51.643194,,8.063,2.180235
2_39_79_383_2018-05-01 15:35:20.929143,,2.854,0.7717216
2_39_131_30_2018-05-01 15:40:09.591026,,4.987,1.3484848
2_39_78_366_2018-05-01 15:40:44.351048,,4.56,1.2330239
2_39_127_19_2018-05-01 15:41:07.863853,,3.562,0.96316475
2_39_125_21_2018-05-01 15:41:44.231612,,3.371,0.9115184
2_39_78_367_2018-05-01 16:00:32.532403,,8.657,2.3408525
2_39_79_377_2018-05-01 16:02:22.067499,,3.058,0.8268832
2_39_90_440_2018-05-01 16:09:02.854274,,24.716,6.683206
2_39_90_26_2018-05-01 16:10:59.167379,,21.525,5.8203597
2_39_78_364_2018-05-01 16:18:16.694690,,2.597,0.7022287
2_39_78_362_2018-05-01 16:18:53.512595,,28.691,7.758046
2_39_92_436_2018-05-01 16:20:23.907285,,7.899,2.1358895
2_39_95_444_2018-05-01 16:25:34.848901,,6.91,1.8684639
2_39_78_363_2018-05-01 16:36:37.558935,,10.386,2.8083742
2_39_92_442_2018-05-01 16:52:53.742929,,7.799,2.1088495
2_39_129_17_2018-05-01 16:58:53.921677,,11.304,3.0566015
2_39_124_22_2018-05-01 17:09:09.120419,,1.943,0.52538717
2_39_123_23_2018-05-01 17:11:32.081386,,7.053,1.9071311
2_39_138_29_2018-05-01 17:28:59.219125,,10.43,2.820272
2_39_79_379_2018-05-01 17:47:29.258429,,12.588,3.4037952
2_39_78_360_2018-05-01 17:51:44.250568,,12.411,3.3559344
2_39_125_21_2018-05-01 18:01:20.558313,,2.162,0.58460474
2_39_91_437_2018-05-01 18:17:12.357036,,9.742,2.6342366
2_39_139_567_2018-05-01 19:33:49.566492,,9.951,2.6907504
2_39_123_557_2018-05-01 19:41:01.364275,,6.671,1.8038384
2_39_127_561_2018-05-01 20:07:55.076639,,2.616,0.70736635
2_39_123_23_2018-05-01 20:12:26.312220,,6.494,1.7559775
2_39_89_439_2018-05-01 20:27:34.589611,,1.374,0.37152958
2_39_88_24_2018-05-01 23:12:11.400204,,6.661,1.8011342
2_39_92_436_2018-05-02 00:06:46.761332,,2.406,0.6505823
2_39_78_362_2018-05-02 00:42:36.428545,,1.117,0.3020368
2_39_139_28_2018-05-02 01:46:00.259900,,13.95,3.7720797
2_39_131_30_2018-05-02 01:49:08.088255,,6.685,1.8076239
2_39_79_379_2018-05-02 01:57:30.484461,,16.344,4.4194174
2_39_79_377_2018-05-02 02:02:40.465993,,4.662,1.2606047
2_39_128_18_2018-05-02 02:21:34.978598,,13.869,3.7501776
2_39_78_366_2018-05-02 02:43:08.435748,,16.084,4.3491135
2_39_129_17_2018-05-02 02:51:35.139363,,2.563,0.6930352
